Average AP uses epochs 5-24 inclusive (20 epochs).
src=source-trained model; tgt=target-trained model; TD_BEV=BEV_tgt-BEV_src; TD_3D=3D_tgt-3D_src; average(n) uses n complete source/target pairs.

seed        shared_seq source_seq target_seq test_seq BEV_src  3D_src BEV_tgt  3D_tgt   TD_BEV    TD_3D
-------------------------------------------------------------------------------------------------------
seed42      9,12_first 3,4,18     42,48,49   43       25.9751 17.3826 26.6590 19.1411   0.6839   1.7585
seed42      9,12_first 3,4,18     43,48,49   42       33.1257 26.7948 34.1980 27.2016   1.0723   0.4068
seed42      9,12_first 3,15,18    42,43,48   49        6.8837  6.6531 19.5513 19.4898  12.6676  12.8367
seed42      9,12_first 3,15,18    42,43,49   48       63.8172 58.8241 67.1121 57.9906   3.2949  -0.8335
seed42      9,12_last  3,4,18     42,48,49   43       23.1462 16.2547 26.6050 20.0489   3.4588   3.7942
seed42      9,12_last  3,4,18     43,48,49   42       37.0115 28.6313 33.0786 27.6462  -3.9329  -0.9851
seed42      9,12_last  3,15,18    42,43,48   49        5.1496  5.0739 18.4112 18.4003  13.2616  13.3264
seed42      9,12_last  3,15,18    42,43,49   48       64.9745 59.8047 59.6796 51.7277  -5.2949  -8.0770
seed43      9,12_first 3,4,18     42,48,49   43       25.1855 16.7085 25.8657 19.5473   0.6802   2.8388
seed43      9,12_first 3,4,18     43,48,49   42       36.8416 30.1664 35.8885 29.2075  -0.9531  -0.9589
seed43      9,12_first 3,15,18    42,43,48   49        3.7845  3.6291 11.8952 11.8110   8.1107   8.1819
seed43      9,12_first 3,15,18    42,43,49   48       66.1390 62.1039 62.5806 52.3610  -3.5584  -9.7429
seed43      9,12_last  3,4,18     42,48,49   43       26.4919 18.3685 26.9572 19.9213   0.4653   1.5528
seed43      9,12_last  3,4,18     43,48,49   42       37.8400 30.8861 36.3323 29.9104  -1.5077  -0.9757
seed43      9,12_last  3,15,18    42,43,48   49        1.9569  1.8859 23.4525 23.2106  21.4956  21.3247
seed43      9,12_last  3,15,18    42,43,49   48       53.2109 49.2509 60.7050 54.1876   7.4941   4.9367
seed44      9,12_first 3,4,18     42,48,49   43       24.4324 17.1809 24.1088 17.2482  -0.3236   0.0673
seed44      9,12_first 3,4,18     43,48,49   42       39.2139 31.8767 30.6210 24.9506  -8.5929  -6.9261
seed44      9,12_first 3,15,18    42,43,48   49        4.8797  4.7713 20.4054 19.8644  15.5257  15.0931
seed44      9,12_first 3,15,18    42,43,49   48       70.0386 63.9042 69.8543 54.4855  -0.1843  -9.4187
seed44      9,12_last  3,4,18     42,48,49   43       22.7480 14.4542 27.0213 19.6912   4.2733   5.2370
seed44      9,12_last  3,4,18     43,48,49   42       37.4594 29.8119 26.2118 21.0771 -11.2476  -8.7348
seed44      9,12_last  3,15,18    42,43,48   49        1.9022  1.6321 22.9440 20.4083  21.0418  18.7762
seed44      9,12_last  3,15,18    42,43,49   48       66.8676 61.5301 62.6686 50.8375  -4.1990 -10.6926
average(24) -          -          -          -              -       -       -       -   3.0721   2.1994
